Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,"Egmont Channel Entrance, FL",urn:ioos:station:wmo:42098,27.5903,-82.9313,waterTemperature,Active
,,,,,waves,Inactive
,"42099 - Offshore St. Petersburg, FL (144)",urn:ioos:station:wmo:42099,27.34,-84.275,waterTemperature,Active
,,,,,waves,Inactive
Shell International E and P (Shell),,,,,,
,42361 - Auger - Garden Banks 426,urn:ioos:station:wmo:42361,27.55,-92.49,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Active
,,,,,dewTemperature,Inactive
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Inactive
,42363 - Mars - Mississippi Canyon 807,urn:ioos:station:wmo:42363,28.16,-89.22,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,42364 - Ram-Powell - Viosca Knoll 936,urn:ioos:station:wmo:42364,29.06,-88.09,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,dewTemperature,Inactive
,,,,,winds,Inactive
,42365 - Ursa - Mississippi Canyon 809,urn:ioos:station:wmo:42365,28.2,-89.12,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,dewTemperature,Inactive
,42390 - Perdido Host - Alaminos Canyon 857,urn:ioos:station:wmo:42390,26.129,-94.898,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Active
,,,,,dewTemperature,Inactive
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Inactive
,42394 - Olympus TLP - Mississippi Canyon 807,urn:ioos:station:wmo:42394,28.157,-89.24,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,dewTemperature,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,42395 - Shell Alcyone Buoy - Walker Ridge 552,urn:ioos:station:wmo:42395,26.404,-90.792,airPressure,Active
,,,,,airTemperature,Active
,,,,,currents,Active
,,,,,waterTemperature,Active
,,,,,waves,Active
,,,,,winds,Active
,,,,,winds,Active
,Shell Appomattox - MC 437,urn:ioos:station:wmo:42400,28.574,-87.934,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42403 - Vito - MC939,urn:ioos:station:wmo:42403,28.0256,-89.2092,currents,Active
,,,,,waterTemperature,Active
,42851 - Noble Globetrotter I - Walker Ridge 376,urn:ioos:station:wmo:42851,28.3638,-87.9228,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,42858 - Stena IceMAX - Atwater Valley 18,urn:ioos:station:wmo:42858,27.962,-89.048,currents,Inactive
,42861 - Deepwater Nautilus - Mississippi Canyon 348,urn:ioos:station:wmo:42861,27.731,-87.924,currents,Inactive
,42862 - Jim Thompson - Mississippi Canyon 984,urn:ioos:station:wmo:42862,27.57,-92.396,currents,Inactive
,42864 - Thalassa - MC 943,urn:ioos:station:wmo:42864,28.0109,-89.012,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42873 - Pontus - GB341,urn:ioos:station:wmo:42873,28.1939,-89.1769,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42877 - Cajun Express - Mississippi Canyon 762,urn:ioos:station:wmo:42877,28.18,-89.29,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,42882 - Noble Globetrotter II - AC772,urn:ioos:station:wmo:42882,26.188,-94.7609,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42886 - Discoverer Spirit - Mississippi Canyon 762,urn:ioos:station:wmo:42886,28.17,-89.24,currents,Inactive
,42895 - Island Performer - Mississippi Canyon 730,urn:ioos:station:wmo:42895,28.273,-88.662,currents,Inactive
,42902 - Deepwater Proteus - MC 392,urn:ioos:station:wmo:42902,28.6098,-87.9796,airTemperature,Inactive
,,,,,currents,Active
,,,,,dewTemperature,Inactive
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Inactive
,42906 - Poseidon - Mississippi Canyon 978,urn:ioos:station:wmo:42906,27.9778,-89.5007,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42922 - Noble Jim Day - Walker Ridge 508,urn:ioos:station:wmo:42922,26.449,-90.784,currents,Inactive
,42927 - Noble Bully I - Mississippi Canyon 567,urn:ioos:station:wmo:42927,28.418,-88.032,currents,Inactive
,WDEL1 - WDEL1 - Shell West Delta 143,urn:ioos:station:NOAA.NDBC:WDEL1,28.662,-89.551,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,dewTemperature,Inactive
,,,,,winds,Inactive
Statoil Hydro (Statoil),,,,,,
,42914 - Discoverer Americas - Walker Ridge 543,urn:ioos:station:wmo:42914,26.806,-90.567,currents,Inactive
Stone Energy (Stone),,,,,,
,42863 - Ocean Victory - Green Canyon 300 #2,urn:ioos:station:wmo:42863,28.962,-88.696,currents,Inactive
Talos Energy LLC (Talos),,,,,,
,42857 - Noble Don Taylor - GC 281,urn:ioos:station:wmo:42857,27.691,-91.114,currents,Inactive
,42918 - Noble Danny Adkins - Mississippi Canyon 849,urn:ioos:station:wmo:42918,27.691,-91.114,currents,Inactive
,42923 - Ensco 8502 - Green Canyon 504,urn:ioos:station:wmo:42923,27.747,-91.088,currents,Inactive
"Texas Automated Buoy System, Texas General Land Office (TABS)",,,,,,
,TABS B: GA-252,urn:ioos:station:wmo:42043,28.9818,-94.9186,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,TABS J: PS-1126,urn:ioos:station:wmo:42044,26.1914,-97.0507,airPressure,Active
,,,,,airTemperature,Active
,,,,,currents,Active
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Active
,,,,,winds,Active
,TABS K: PI-745,urn:ioos:station:wmo:42045,26.2168,-96.4998,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,TABS N: HI-A595,urn:ioos:station:wmo:42046,27.8903,-94.0367,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,TABS V: HI-A389,urn:ioos:station:wmo:42047,27.8966,-93.5973,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,TABS D: TABS D,urn:ioos:station:wmo:42048,27.9396,-96.8429,currents,Active
,,,,,salinity,Inactive
,,,,,waterTemperature,Active
,TABS W: TABS W,urn:ioos:station:wmo:42049,28.3507,-96.0058,currents,Active
,,,,,salinity,Inactive
,,,,,waterTemperature,Active
,TABS F: TABS F,urn:ioos:station:wmo:42050,28.8425,-94.2433,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,TABS R: TABS R,urn:ioos:station:wmo:42051,29.635,-93.6417,currents,Active
,,,,,salinity,Inactive
,,,,,waterTemperature,Active
,TABS A:TABS A,urn:ioos:station:TABS:A,29.5325,-93.8116,currents,Inactive
,,,,,waterTemperature,Inactive
,TABS C:TABS C,urn:ioos:station:TABS:C,28.8116,-94.7433,currents,Inactive
,,,,,waterTemperature,Inactive
,TABS E:TABS E,urn:ioos:station:TABS:E,27.3383,-97.1,currents,Inactive
,,,,,waterTemperature,Inactive
,TABS G:TABS G,urn:ioos:station:TABS:G,29.55,-93.4666,currents,Inactive
,,,,,waterTemperature,Inactive
,TABS H:TABS H,urn:ioos:station:TABS:H,27.8674,-96.5433,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,TABS L:TABS L,urn:ioos:station:TABS:L,28.0416,-94.1166,currents,Inactive
,,,,,waterTemperature,Inactive
,TABS M:TABS M,urn:ioos:station:TABS:M,28.1921,-94.1914,currents,Inactive
,,,,,waterTemperature,Inactive
,TABS P:TABS P,urn:ioos:station:TABS:P,29.1662,-92.7365,waterTemperature,Inactive
,TABS X:TABS X,urn:ioos:station:wmo:42052,27.066,-96.3383,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
Texas Coastal Ocean Observation Network (TCOON),,,,,,
,041: Nueces Delta 1: Nueces Delta 1,urn:ioos:station:TCOON:041,27.8897,-97.5916,salinity,Inactive
,042: Nueces Delta 2: Nueces Delta 2,urn:ioos:station:TCOON:042,27.8888,-97.5696,salinity,Active
,,,,,waterTemperature,Active
,043: Nueces Delta 3: Nueces Delta 3,urn:ioos:station:TCOON:043,27.8838,-97.5332,salinity,Inactive
,,,,,waterTemperature,Inactive
,"072: SALT01 (Nueces Bay, Texas): SALT01 (Nueces Bay, Texas)",urn:ioos:station:TCOON:072,27.8392,-97.444,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,"074: SALT03 (Nueces Bay, Texas): SALT03 (Nueces Bay, Texas)",urn:ioos:station:TCOON:074,27.8516,-97.482,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,"076: SALT05 (Nueces River, Texas): SALT05 (Nueces River, Texas)",urn:ioos:station:TCOON:076,27.8918,-97.6105,salinity,Active
,,,,,waterTemperature,Active
,079: SALT08: SALT08,urn:ioos:station:TCOON:079,27.8708,-97.5177,salinity,Inactive
,,,,,waterTemperature,Inactive
,127: Bahia Grande Water Quality Station 1: Bahia Grande Water Quality Station 1,urn:ioos:station:TCOON:127,28.2598,-96.7737,currents,Active
,,,,,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,146: MANERR Station 2 (Copano East): MANERR Station 2 (Copano East),urn:ioos:station:TCOON:146,28.1324,-97.0345,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,147: MANERR Station 3 (Copano West): MANERR Station 3 (Copano West),urn:ioos:station:TCOON:147,28.0841,-97.2009,salinity,Inactive
,,,,,waterTemperature,Inactive
,148: MANERR Station 4 (Aransas Bay): MANERR Station 4 (Aransas Bay),urn:ioos:station:TCOON:148,27.9799,-97.0288,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,149: MANERR Station 5 (Port Aransas): MANERR Station 5 (Port Aransas),urn:ioos:station:TCOON:149,27.8383,-97.0503,salinity,Inactive
,,,,,waterTemperature,Inactive
,170: National Park Service - Baffin Bay: National Park Service - Baffin Bay,urn:ioos:station:TCOON:170,27.297,-97.4049,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,171: National Park Service - Bird Island: National Park Service - Bird Island,urn:ioos:station:TCOON:171,27.4847,-97.3181,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,"068: Baffin Bay (87766041): Baffin Bay; Point of Rocks, TX",urn:ioos:station:TCOON:068,27.297,-97.4049,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"013: S. Bird Island (87761391): South Bird Island, TX",urn:ioos:station:TCOON:013,27.4847,-97.3181,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"006: Ingleside (87752831): Port Ingleside, TX",urn:ioos:station:TCOON:006,27.8217,-97.204,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"005: Packery Channel (87757921): Packery Channel, TX",urn:ioos:station:TCOON:005,27.6346,-97.237,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"057: Port O'Connor (87737011): Matagorda Bay; Port O'Connor, TX",urn:ioos:station:TCOON:057,28.446,-96.3961,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"524: Port Arthur (87704751): Port Arthur, TX",urn:ioos:station:TCOON:524,29.8672,-93.931,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"518: Rollover Pass (87709711): Rollover Pass, TX",urn:ioos:station:TCOON:518,29.515,-94.5133,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"003: Rincon del San Jose (87778121): Rincon del San Jose; Potrero Lopeno SW, TX",urn:ioos:station:TCOON:003,26.8015,-97.4706,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"009: Port Aransas (87752371): Port Aransas, TX",urn:ioos:station:TCOON:009,27.8398,-97.0727,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"031: Seadrift (87730371): Seadrift, TX",urn:ioos:station:TCOON:031,28.4073,-96.7122,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
Total USA - Inc (Total USA),,,,,,
,Matterhorn TLP - Mississippi Canyon 243,urn:ioos:station:wmo:42367,28.742,-88.826,currents,Inactive
Walter Oil and Gas Corporation (Walter),,,,,,
,42900 - Ocean Saratoga - Mississippi Canyon 583,urn:ioos:station:wmo:42900,28.36,-89.423,currents,Inactive
Wave-Current-Surge Information System for Coastal Louisiana (WAVCIS),,,,,,
,"CSI10A: Fieldwood Energy, LLC site SS91",urn:ioos:station:WAVCIS:CSI10A,28.9192,-90.7744,currents,Inactive
,CSI15: Ship Shoal blocks 114A,urn:ioos:station:WAVCIS:CSI15,28.8332,-90.832,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,CSI16: Chevron MP41M platform,urn:ioos:station:WAVCIS:CSI16,29.4012,-89.0355,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,salinity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,CSI09: Grand Isle Blocks,urn:ioos:station:WAVCIS:CSI09,29.1015,-89.9782,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"CSI05: Isle Dernieres, LA",urn:ioos:station:WAVCIS:CSI05,29.0533,-90.5333,airPressure,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"CSI03: Marsh Island, LA",urn:ioos:station:WAVCIS:CSI03,29.4412,-92.0613,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"CSI06: South Timbalier Block 52, LA",urn:ioos:station:WAVCIS:CSI06,28.8667,-90.4833,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
Williams (Williams),,,,,,
,42380 - Devil's Tower - Mississippi Canyon 773\,urn:ioos:station:wmo:42380,28.209,-88.737,currents,Inactive
Woodside Energy (Woodside),,,,,,
,42874 - Deepwater Asgard - Atwater Valley 23,urn:ioos:station:wmo:42874,27.8811,-90.665,currents,Inactive
