Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,42386 - Tahiti - Green Canyon 641,urn:ioos:station:wmo:42386,27.326,-90.714,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42396 - Jack and St Malo FPU - Walker Ridge Block 758,urn:ioos:station:wmo:42396,26.235,-91.261,currents,Inactive
,,urn:ioos:station:wmo:42402,26.9327,-90.5202,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42876 - Deepwater Conqueror - 678,urn:ioos:station:wmo:42876,26.1651,-91.4358,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42888 - Rowan Relentless - Mississippi Canyon 84,urn:ioos:station:wmo:42888,28.3081,-88.2016,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42905 - Belford Dolphin - Green Canyon 561,urn:ioos:station:wmo:42905,27.396,-90.305,currents,Inactive
,42912 - Discoverer Clear Leader - Keathley Canyon 829,urn:ioos:station:wmo:42912,26.208,-91.443,currents,Inactive
,42926 - Discoverer India - Keathley Canyon 770,urn:ioos:station:wmo:42926,26.201,-92.871,currents,Inactive
,42929 - Pacific Santa Ana - Keathley Canyon 10,urn:ioos:station:wmo:42929,26.949,-93.442,currents,Inactive
Coastal CUBENet (CUBENet),,,,,,
,42067 Ð USM-R1,urn:ioos:station:wmo:42067,30.0498,-88.6833,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,currents,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,,,,,winds,Inactive
Coastal Ocean Monitoring and Prediction System (COMPS),,,,,,
,"ANC: Anclote Gulf Park, FL",urn:ioos:station:USF.COMPS:ANC,28.193,-82.789,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,salinity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"ANM: Anna Maria, FL",urn:ioos:station:USF.COMPS:ANM,27.54,-82.74,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterLevel,Inactive
,,,,,winds,Inactive
,"APK: Aripeka, FL",urn:ioos:station:USF.COMPS:ARP,28.433,-82.667,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"BCP: Big Carlos Pass, FL",urn:ioos:station:USF.COMPS:BGC,26.404,-81.881,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,winds,Inactive
,C10: Navy-2,urn:ioos:station:USF.COMPS:C10,27.169,-82.926,airPressure,Active
,,,,,airTemperature,Active
,,,,,currents,Inactive
,,,,,relativeHumidity,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,C12: West Florida Central Buoy,urn:ioos:station:USF.COMPS:C12,27.498,-83.722,airPressure,Active
,,,,,airTemperature,Active
,,,,,currents,Inactive
,,,,,relativeHumidity,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,C13: West Florida South Buoy,urn:ioos:station:USF.COMPS:C13,26.063,-83.073,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"CPK: Campbell Park, FL",urn:ioos:station:USF.COMPS:CAM,27.765,-82.649,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,winds,Inactive
,"EGK: Egmont Key, FL",urn:ioos:station:USF.COMPS:EGK,27.601,-82.751,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"FHP: Fred Howard Park, FL",urn:ioos:station:USF.COMPS:FHP,28.153,-82.801,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,salinity,Inactive
,,,,,waterLevel,Active
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,"NFB: Northwest Florida Bay, FL",urn:ioos:station:USF.COMPS:NFB,25.084,-81.096,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"SHP: Shell Point, FL",urn:ioos:station:USF.COMPS:SHP,30.06,-84.291,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"TAS: Tarpon Springs, FL",urn:ioos:station:USF.COMPS:TAR,28.156,-82.758,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,winds,Inactive
Cobalt Energy (Cobalt),,,,,,
,42898 - Rowan Reliance - Keathley Canyon 129,urn:ioos:station:wmo:42898,27.026,-92.237,currents,Inactive
Conoco Phillips (Conoco),,,,,,
,42368 - Magnolia - Garden Banks 783,urn:ioos:station:wmo:42368,27.204,-92.203,currents,Inactive
,42883 - Maersk Valiant - Alaminos Canyon 475,urn:ioos:station:wmo:42883,26.515,-94.212,currents,Inactive
Dauphin Island Sea Laboratory (DISL),,,,,,
,"WECP: West End, AL",urn:ioos:station:DISL:WECP,30.0902,-88.2116,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,"BSCA: Station Bon Secour, LA",urn:ioos:station:DISL:BSCA,30.3288,-87.8293,airPressure,Active
,,,,,airTemperature,Active
,,,,,dissolvedOxygen,Active
,,,,,relativeHumidity,Inactive
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Active
,,,,,winds,Active
,"CATA: Cedar Point, AL",urn:ioos:station:DISL:CATA,30.3085,-88.1395,airPressure,Active
