Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,,,,,currents,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,"42039: 42039 - PENSACOLA - 115NM East Southeast of Pensacola, FL",urn:ioos:station:wmo:42039,28.739,-86.006,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,42055: 42055 - Bay of Campeche,urn:ioos:station:wmo:42055,22.203,-94,airPressure,Active
,,,,,airTemperature,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,42056: 42056 - Yucatan Basin,urn:ioos:station:wmo:42056,19.802,-84.857,airPressure,Inactive
,,,,,airTemperature,Active
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,42057: 42057 - Western Caribbean,urn:ioos:station:wmo:42057,17.002,-81.501,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"BURL1: BURL1 - Southwest Pass, LA",urn:ioos:station:NOAA.NDBC:BURL1,28.906,-89.429,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,winds,Active
,"CDRF1: CDRF1 - Cedar Key, FL",urn:ioos:station:NOAA.NDBC:CDRF1,29.136,-83.029,airPressure,Active
,,,,,airTemperature,Active
,,,,,winds,Active
,"FWYF1: FWYF1 - Fowey Rocks, FL",urn:ioos:station:NOAA.NDBC:FWYF1,25.591,-80.097,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"KTNF1: KTNF1 - Keaton Beach, FL",urn:ioos:station:NOAA.NDBC:KTNF1,29.819,-83.593,airPressure,Active
,,,,,airTemperature,Active
,,,,,winds,Active
,"PLSF1: PLSF1 - Pulaski Shoal Light, FL",urn:ioos:station:NOAA.NDBC:PLSF1,24.693,-82.773,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,winds,Inactive
,"PTAT2: PTAT2 - Port Aransas, TX",urn:ioos:station:NOAA.NDBC:PTAT2,27.826,-97.051,airPressure,Inactive
,,,,,airTemperature,Active
,,,,,waterTemperature,Inactive
,,,,,winds,Active
,"SANF1: SANF1 - Sand Key, FL",urn:ioos:station:NOAA.NDBC:SANF1,24.456,-81.877,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,winds,Inactive
,"SAUF1: SAUF1 - St. Augustine, FL",urn:ioos:station:NOAA.NDBC:SAUF1,29.857,-81.265,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"SGOF1: SGOF1 - Tyndall AFB Tower C (N4), FL",urn:ioos:station:NOAA.NDBC:SGOF1,29.408,-84.858,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"SMKF1: SMKF1 - Sombrero Key, FL",urn:ioos:station:NOAA.NDBC:SMKF1,24.628,-81.112,airPressure,Active
,,,,,airTemperature,Active
,,,,,winds,Active
,"SRST2: SRST2 - Sabine Pass, TX",urn:ioos:station:NOAA.NDBC:SRST2,29.683,-94.033,airPressure,Active
,,,,,airTemperature,Active
,,,,,winds,Active
,"VENF1: VENF1 - Venice, FL",urn:ioos:station:NOAA.NDBC:VENF1,27.072,-82.453,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
"National Estuarine Research Reserve System, NOAA (NERRS)",,,,,,
,apacpwq: Cat Point,urn:ioos:station:NOAA.NERRS:apacpwq,29.7021,-84.8802,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,apadbwq: Dry Bar,urn:ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,apaebmet: East Bay,urn:ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,winds,Active
,apaebwq: East Bay Bottom,urn:ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,apaeswq: East Bay Surface,urn:ioos:station:NOAA.NERRS:apaeswq,29.858,-84.8752,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,gndbcwq: Bayou Cumbest,urn:ioos:station:NOAA.NERRS:gndbcwq,30.3836,-88.4364,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,gndbhwq: Bayou Heron,urn:ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,gndblwq: Bangs Lake,urn:ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,gndcrmet: Crooked Bayou,urn:ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.42,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,winds,Inactive
,gndpcwq: Point Aux Chenes Bay,urn:ioos:station:NOAA.NERRS:gndpcwq,30.3486,-88.4185,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,gtmfmwq: Fort Matanzas,urn:ioos:station:NOAA.NERRS:gtmfmwq,29.737,-81.2459,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,gtmpcmet: Pellicer Creek,urn:ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,winds,Active
,gtmpcwq: Pellicer Creek,urn:ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,gtmpiwq: Pine Island,urn:ioos:station:NOAA.NERRS:gtmpiwq,30.0508,-81.3674,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,gtmsswq: San Sebastian,urn:ioos:station:NOAA.NERRS:gtmsswq,29.8688,-81.3074,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,marabwq: Aransas Bay,urn:ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,marcemet: Copano East,urn:ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,winds,Active
,marcewq: Copano Bay East,urn:ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,marcwwq: Copano Bay West,urn:ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,marmbwq: Mesquite Bay,urn:ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,marscwq: Ship Channel,urn:ioos:station:NOAA.NERRS:marscwq,27.8383,-97.0503,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,rkbfbwq: Fakahatchee Bay,urn:ioos:station:NOAA.NERRS:rkbfbwq,25.8922,-81.477,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,rkbfuwq: Faka Union Bay,urn:ioos:station:NOAA.NERRS:rkbfuwq,25.9005,-81.5159,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,rkblhwq: Lower Henderson Creek,urn:ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,rkbmbwq: Middle Blackwater River,urn:ioos:station:NOAA.NERRS:rkbmbwq,25.9343,-81.5946,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
